sector,month,hazard_rate,survival_probability
SaaS,0,0.026,100.0
SaaS,1,0.026,97.43
SaaS,2,0.026,94.93
SaaS,3,0.026,92.5
SaaS,4,0.026,90.12
SaaS,5,0.026,87.81
SaaS,6,0.026,85.56
SaaS,7,0.026,83.36
SaaS,8,0.026,81.22
SaaS,9,0.026,79.14
SaaS,10,0.026,77.11
SaaS,11,0.026,75.13
SaaS,12,0.026,73.2
SaaS,13,0.026,71.32
SaaS,14,0.026,69.49
SaaS,15,0.026,67.71
SaaS,16,0.026,65.97
SaaS,17,0.026,64.27
SaaS,18,0.026,62.63
SaaS,19,0.026,61.02
SaaS,20,0.026,59.45
SaaS,21,0.026,57.93
SaaS,22,0.026,56.44
SaaS,23,0.026,54.99
SaaS,24,0.026,53.58
SaaS,25,0.026,52.2
SaaS,26,0.026,50.86
SaaS,27,0.026,49.56
SaaS,28,0.026,48.29
SaaS,29,0.026,47.05
SaaS,30,0.026,45.84
SaaS,31,0.026,44.66
SaaS,32,0.026,43.52
SaaS,33,0.026,42.4
SaaS,34,0.026,41.31
SaaS,35,0.026,40.25
SaaS,36,0.026,39.22
AI,0,0.042,100.0
AI,1,0.042,95.89
AI,2,0.042,91.94
AI,3,0.042,88.16
AI,4,0.042,84.54
AI,5,0.042,81.06
AI,6,0.042,77.72
AI,7,0.042,74.53
AI,8,0.042,71.46
AI,9,0.042,68.52
AI,10,0.042,65.7
AI,11,0.042,63.0
AI,12,0.042,60.41
AI,13,0.042,57.93
AI,14,0.042,55.54
AI,15,0.042,53.26
AI,16,0.042,51.07
AI,17,0.042,48.97
AI,18,0.042,46.95
AI,19,0.042,45.02
AI,20,0.042,43.17
AI,21,0.042,41.4
AI,22,0.042,39.69
AI,23,0.042,38.06
AI,24,0.042,36.49
AI,25,0.042,34.99
AI,26,0.042,33.55
AI,27,0.042,32.17
AI,28,0.042,30.85
AI,29,0.042,29.58
AI,30,0.042,28.37
AI,31,0.042,27.2
AI,32,0.042,26.08
AI,33,0.042,25.01
AI,34,0.042,23.98
AI,35,0.042,22.99
AI,36,0.042,22.05
FinTech,0,0.034,100.0
FinTech,1,0.034,96.66
FinTech,2,0.034,93.43
FinTech,3,0.034,90.3
FinTech,4,0.034,87.28
FinTech,5,0.034,84.37
FinTech,6,0.034,81.55
FinTech,7,0.034,78.82
FinTech,8,0.034,76.19
FinTech,9,0.034,73.64
FinTech,10,0.034,71.18
FinTech,11,0.034,68.8
FinTech,12,0.034,66.5
FinTech,13,0.034,64.27
FinTech,14,0.034,62.13
FinTech,15,0.034,60.05
FinTech,16,0.034,58.04
FinTech,17,0.034,56.1
FinTech,18,0.034,54.23
FinTech,19,0.034,52.41
FinTech,20,0.034,50.66
FinTech,21,0.034,48.97
FinTech,22,0.034,47.33
FinTech,23,0.034,45.75
FinTech,24,0.034,44.22
FinTech,25,0.034,42.74
FinTech,26,0.034,41.31
FinTech,27,0.034,39.93
FinTech,28,0.034,38.6
FinTech,29,0.034,37.31
FinTech,30,0.034,36.06
FinTech,31,0.034,34.85
FinTech,32,0.034,33.69
FinTech,33,0.034,32.56
FinTech,34,0.034,31.47
FinTech,35,0.034,30.42
FinTech,36,0.034,29.41
